REF,GSM820823,GSM820824,GSM820825,GSM820826,GSM820827,GSM820828,GSM820829,GSM820830,GSM820831,GSM820832,GSM820833,GSM820834,GSM820835,GSM820836,GSM820837,GSM820838,GSM820839,GSM820840,GSM820841,GSM820842,GSM820843,GSM820844,GSM820845,GSM820846,GSM820847,GSM820848,GSM820849,GSM820850,GSM820851,GSM820852,GSM820853,GSM820854,GSM820855,GSM820856,GSM820857,GSM820858,GSM820859,GSM820860,GSM820861,GSM820862,GSM820863,GSM820864,GSM820865,GSM820866,GSM820867,GSM820868,GSM820869,GSM820870,GSM820871,GSM820872,GSM820873,GSM820874,GSM820875,GSM820876,GSM820877,GSM820878,GSM820879,GSM820880,GSM820881,GSM820882,GSM820883,GSM820884,GSM820885,GSM820886,GSM820887,GSM820888,GSM820889,GSM820890,GSM820891,GSM820892,GSM820893,GSM820894,GSM820895,GSM820896,GSM820897,GSM820898,GSM820899,GSM820900,GSM820901,GSM820902,GSM820903,GSM820904,GSM820905,GSM820906,GSM820907,GSM820908,GSM820909,GSM820910,GSM820911,GSM820912,GSM820913,GSM820914,GSM820915,GSM820916,GSM820917,GSM820918
b0001,7.172127,8.371,7.325536,8.648016,7.997375,7.288191,6.112451,7.739118,6.428092,7.920879,8.169667,7.854162,6.982907,7.334169,6.576243,8.114947,8.827104,8.752331,7.582453,10.974179,8.974184,9.296375,7.238188,7.449021,7.454936,7.309596,8.004825,6.795037,9.680145,9.366943,8.598987,7.29093,7.337907,7.753184,7.950423,7.902386,8.437525,7.192864,7.213106,7.509091,8.117774,8.758009,8.494935,7.187883,6.242563,8.516978,7.263809,7.968338,7.708032,6.090725,7.397738,5.279092,5.474477,6.606969,6.584943,6.086719,6.016109,6.061652,7.162005,6.392636,5.507744,5.275097,6.317433,5.48831,8.527369,8.588302,8.131324,6.513841,5.792963,9.514746,8.071887,7.752205,8.297498,5.098002,6.528977,9.781219,8.628415,5.359928,5.927609,8.19404,7.60569,8.178316,9.105784,5.58664,7.462608,5.858342,8.323743,5.081489,5.773447,5.694419,6.11239,5.172265,5.639116,6.254111,8.735466,9.202132
b0002,10.661392,11.075333,11.103082,11.841257,9.51856,11.020215,9.570281,10.490489,9.456159,9.332346,11.278186,11.30258,10.172285,8.405933,8.601558,10.210901,10.434431,11.322761,10.312792,11.664919,11.855554,10.534046,10.375352,11.126994,10.508667,8.891711,10.22646,9.603191,11.581346,11.515757,11.661816,9.558181,8.882606,9.950261,10.007114,10.466008,9.856893,11.041177,11.147954,9.213538,10.270231,10.557615,10.282773,9.210762,10.40176,11.032986,8.555576,9.457386,10.742336,7.964508,8.863834,7.736731,9.562994,8.831335,9.369798,8.441724,8.136007,7.760621,8.680253,7.883803,7.389654,9.576505,9.72638,9.545156,9.79953,10.114972,9.297441,8.650808,9.655149,9.89623,9.298217,9.315949,9.245909,10.152079,10.742659,10.888508,10.678378,10.090925,9.933238,9.485013,11.428419,10.995871,10.838736,10.07759,10.279144,9.736849,10.60538,11.041424,11.083063,10.252404,9.24559,10.037195,9.499747,9.997474,10.444215,11.005182
b0003,9.702438,10.025881,9.943846,10.94619,8.631012,10.094704,8.763748,9.349583,8.71027,8.753577,10.435258,10.278619,9.329596,7.951097,7.772326,9.11021,9.55755,10.502693,9.471489,10.943857,10.857704,9.731009,9.754094,10.45833,9.746843,8.541812,9.350415,8.731847,10.811462,10.469516,10.780297,8.909365,8.382526,9.292476,9.12476,9.55008,9.084952,9.83049,10.446621,8.319589,9.224791,9.629399,9.479641,8.400859,9.290057,10.271004,7.885121,8.557821,9.784873,7.792111,8.385235,7.322241,8.283634,8.534018,8.577731,8.238539,7.706399,8.571843,8.69744,8.036757,7.589524,9.03411,9.203229,9.141918,9.025379,9.387259,8.759707,8.665658,9.241573,9.096159,8.808944,8.83963,8.492394,9.082804,9.723449,9.929888,9.767885,9.296391,8.997789,8.811298,10.334909,9.946785,9.979801,8.975615,9.599947,8.85411,9.764661,9.626602,9.901068,9.00633,8.87079,8.680788,8.826023,8.850371,9.746139,10.185434
b0004,10.075595,10.461978,10.229942,11.27762,9.298278,10.693721,9.340702,9.514804,9.244454,9.013479,10.695857,10.548802,9.673324,8.005687,7.836123,9.735632,9.971606,10.796755,9.952132,11.148882,11.308721,10.377291,10.397368,10.736457,10.259941,9.434088,9.884718,9.161768,11.081628,10.852596,11.116498,9.68835,8.668877,9.527398,9.576865,9.853106,9.311098,10.307693,10.817881,8.835654,9.665938,10.011161,9.816529,8.924194,9.827192,10.690262,8.544636,8.923083,10.058827,7.868358,8.513511,7.59921,9.33499,8.383173,9.083567,8.20431,7.696006,8.010105,8.296077,7.800884,9.850326,9.251545,9.551114,9.432488,9.377691,9.777913,9.348551,9.027368,9.51384,9.671432,9.232529,9.347193,9.149794,9.613121,10.243799,10.252848,10.084083,9.753524,9.697336,9.490759,10.946029,10.604504,10.56968,10.335017,10.353567,9.752297,11.174122,10.906624,10.78306,9.229882,9.095339,9.047018,9.189578,9.209476,10.293473,10.604742
b0005,6.71825,7.241007,6.901232,7.92241,7.039704,7.130629,6.918112,7.21632,6.757704,6.872397,7.279115,7.655645,7.437496,7.794298,7.344548,7.446912,7.159247,7.518074,7.263776,7.675371,7.51519,7.205211,7.459372,7.510247,7.563104,6.914797,6.900678,7.099083,8.055115,7.717609,8.09772,6.902297,7.003421,7.083038,7.098881,7.364491,7.193232,7.262426,8.065039,7.101713,6.782612,7.419576,6.810033,7.042795,7.073478,7.048709,6.515676,6.505735,7.086712,7.765969,8.544687,7.45415,6.858457,8.143894,8.363663,8.282757,7.689539,8.026963,8.487108,7.981587,10.090271,7.614255,7.927812,7.899587,7.931491,8.319498,8.080608,8.101831,8.025847,8.083792,8.044639,7.769259,7.768916,7.199622,7.341968,7.653478,7.794718,8.080122,7.983447,8.220639,8.00312,8.241685,8.380283,8.042025,8.571589,7.942853,8.611807,7.623433,7.666564,7.396984,7.762363,7.416947,7.438296,7.171368,7.430273,7.719263
b0006,7.321038,7.199156,7.436749,7.519488,7.475726,7.616859,7.497172,7.403856,7.450497,7.046235,6.744897,7.558733,7.340067,7.734725,7.572846,7.301721,7.210522,7.21963,7.564995,7.593614,7.575133,7.379106,7.572356,7.768056,7.215733,7.215528,7.416052,7.122135,7.381004,6.885329,7.575139,7.56578,7.396422,7.638217,7.497064,7.516435,7.546396,7.181453,6.760549,7.033052,7.485306,7.473968,7.45491,7.215008,7.648053,7.044597,6.945538,6.67132,7.424005,8.557812,8.996791,8.010677,7.248549,8.89414,8.742778,8.231543,7.726006,8.185483,8.670625,8.056443,7.906691,7.800391,7.94122,8.368926,7.331972,7.956865,7.608871,8.334288,8.597808,7.155241,7.402815,7.155248,7.143025,7.708038,7.418126,7.401277,7.424222,8.202978,8.382941,8.227054,7.949931,7.450808,7.932097,8.063689,8.63689,8.150146,7.475469,7.716568,7.993531,8.09752,7.649483,7.457858,7.525623,7.893107,7.598826,7.579174
b0007,5.817987,5.693654,6.205604,5.841341,5.870507,5.873299,5.916784,5.845233,5.85457,5.454671,5.660498,6.411636,6.240367,6.96573,6.513709,6.696354,5.902595,5.921186,5.977013,5.82305,5.740552,6.085539,5.955063,6.22354,6.139462,6.081019,5.890339,5.487629,6.527869,5.963145,7.091142,5.609915,5.847895,6.095303,5.910485,6.206915,5.985514,5.944898,6.313626,5.985769,6.272057,6.374122,6.069842,6.366353,6.103714,5.520107,5.83922,5.755181,5.995903,7.583742,8.180303,7.000484,6.357603,7.886376,8.563491,7.380516,7.590696,7.328143,7.968295,7.136614,6.79364,6.533266,6.620266,7.068358,6.688302,7.601093,6.663848,7.490357,7.321745,5.627167,6.203863,6.117267,6.186114,6.225537,5.943268,5.731081,6.219741,6.537524,6.580962,7.194624,5.718603,5.730928,5.795733,6.435637,7.589556,6.889144,6.372717,6.648426,6.325936,6.654838,6.558604,5.984089,6.313345,6.528852,5.981898,6.149559
b0008,10.982902,10.540638,11.019588,10.696595,11.077699,11.010464,11.181199,11.021091,11.396011,10.729037,10.914293,10.900799,10.570722,9.94554,10.091913,10.901792,10.303731,10.51438,10.723954,11.012735,11.086847,10.955534,11.30124,11.219408,11.160473,11.470028,11.363961,11.192661,11.407318,10.947263,11.44268,11.034319,10.510126,10.8302,10.838932,10.800721,11.030529,10.462312,9.938358,10.251438,10.804905,10.404662,10.720287,10.312762,10.538792,10.900711,10.065797,10.088696,10.736475,10.00284,10.906211,9.793496,11.006383,10.223154,10.994569,9.678953,9.414043,9.661422,10.467002,10.18608,9.765142,10.559345,10.511022,11.065632,10.889468,11.232528,10.945794,10.836141,11.188684,10.103272,10.880855,11.024428,10.94516,10.240304,10.541395,10.182195,10.589108,10.533122,10.629676,10.323652,10.885069,10.522724,10.794101,10.419008,11.058325,10.776575,11.173559,11.300247,11.146561,10.207762,10.268368,10.208607,10.809277,10.204942,9.982823,10.224285
b0009,7.989682,7.758204,7.982186,7.949823,7.747023,7.763313,8.030291,7.751663,7.753363,7.866323,7.657712,8.117479,8.183248,8.610087,8.259973,8.058555,7.721473,7.498096,7.912207,7.579908,7.770978,7.920693,7.740898,7.976525,7.872786,8.162553,7.822729,7.965167,7.893492,7.713486,8.279361,8.09085,8.053934,7.793716,8.383708,8.095172,8.331492,7.850176,8.238737,8.319774,7.461511,7.753181,7.449093,8.064356,7.841458,7.567726,7.693899,7.519658,7.952568,8.523298,8.910446,8.108495,7.552826,8.635232,8.67666,8.528635,8.704305,8.42027,8.981055,8.581589,8.39103,8.238445,7.807628,8.428115,8.438557,8.930275,8.57663,8.441092,8.533235,7.900359,8.282549,8.453905,8.433246,7.83129,7.744047,7.554977,7.795877,8.20253,8.250178,8.566362,8.205308,7.980525,8.236128,8.019762,8.697553,8.055275,8.126222,7.981907,7.966158,8.002427,8.357355,7.719354,8.159483,7.819889,7.884389,7.885036
b0010,6.780839,6.807678,6.806447,7.048933,6.852266,6.771472,6.887372,7.035391,6.947844,7.371218,6.891458,7.368729,7.102382,7.393504,7.308894,7.10001,6.845792,6.708784,7.396091,6.829884,6.899829,6.875477,6.919259,7.164208,7.116031,7.070247,6.885854,6.763881,7.040301,6.7439,7.433299,7.004624,7.050662,7.165401,7.180628,7.108485,7.146135,6.860155,7.016475,6.952108,6.843264,7.108343,6.694904,7.219489,7.19902,6.719009,6.619739,6.63244,7.156838,8.054642,8.556226,7.876219,7.128925,8.247885,8.119497,7.798307,7.796298,8.056956,8.421046,8.085406,7.702025,7.506492,6.926238,7.569628,7.326793,7.989288,7.474249,7.888408,7.71871,6.41415,7.17791,7.204798,7.006296,7.201158,6.724146,6.480135,6.900161,7.503082,7.714795,7.656256,6.861892,6.754802,6.779284,7.658063,7.870807,7.573489,6.909977,7.069541,7.060016,7.351594,7.81006,7.383886,7.329956,7.151296,7.171894,7.066422
