TF,TF gene,TF BID,gene,gene BID,regulation
AcrR,acrR,b0464,acrA,b0463,-
AcrR,acrR,b0464,acrB,b0462,-
AcrR,acrR,b0464,acrR,b0464,-
AcrR,acrR,b0464,micF,b4439,-
Ada,ada,b2213,ada,b2213,+-
Ada,ada,b2213,aidB,b4187,+
Ada,ada,b2213,alkA,b2068,+
Ada,ada,b2213,alkB,b2212,+-
AdiY,adiY,b4116,adiA,b4117,+
AdiY,adiY,b4116,gadA,b3517,+
AdiY,adiY,b4116,gadB,b1493,+
AdiY,adiY,b4116,gadC,b1492,+
AdiY,adiY,b4116,gadX,b3516,+
AdiY,adiY,b4116,gltB,b3212,+
AdiY,adiY,b4116,gltD,b3213,+
AdiY,adiY,b4116,gltF,b3214,+
AgaR,agaR,b3131,agaB,b3138,-
AgaR,agaR,b3131,agaC,b3139,-
AgaR,agaR,b3131,agaD,b3140,-
AgaR,agaR,b3131,agaI,b3141,-
AgaR,agaR,b3131,agaR,b3131,-
AgaR,agaR,b3131,agaS,b3136,-
AgaR,agaR,b3131,agaV,b3133,-
AgaR,agaR,b3131,kbaY,b3137,-
AgaR,agaR,b3131,kbaZ,b3132,-
AidB,aidB,b4187,aidB,b4187,-
AlaS,alaS,b2697,alaS,b2697,-
AllR,allR,b0506,allA,b0505,-
AllR,allR,b0506,allB,b0512,-
AllR,allR,b0506,allS,b0504,-
AllR,allR,b0506,gcl,b0507,-
AllR,allR,b0506,glxK,b0514,-
AllR,allR,b0506,glxR,b0509,-
AllR,allR,b0506,hyi,b0508,-
AllR,allR,b0506,ybbV,b0510,-
AllR,allR,b0506,ybbW,b0511,-
AllR,allR,b0506,ybbY,b0513,-
AllS,allS,b0504,allC,b0516,+
AllS,allS,b0504,allD,b0517,+
AllS,allS,b0504,allE,b0515,+
AlpA,alpA,b2624,intA,b2622,+
AlsR,rpiR,b4089,alsA,b4087,-
AlsR,rpiR,b4089,alsB,b4088,-
AlsR,rpiR,b4089,alsC,b4086,-
AlsR,rpiR,b4089,alsE,b4085,-
AlsR,rpiR,b4089,rpiB,b4090,-
AlsR,rpiR,b4089,rpiR,b4089,-
AppY,appY,b0564,appA,b0980,+
AppY,appY,b0564,appB,b0979,+
AppY,appY,b0564,appC,b0978,+
AppY,appY,b0564,hyaA,b0972,+
AppY,appY,b0564,hyaB,b0973,+
AppY,appY,b0564,hyaC,b0974,+
AppY,appY,b0564,hyaD,b0975,+
AppY,appY,b0564,hyaE,b0976,+
AppY,appY,b0564,hyaF,b0977,+
AppY,appY,b0564,yccB,b4592,+
AraC,araC,b0064,araA,b0062,+-
AraC,araC,b0064,araB,b0063,+-
AraC,araC,b0064,araC,b0064,+-
AraC,araC,b0064,araD,b0061,+-
AraC,araC,b0064,araE,b2841,+
AraC,araC,b0064,araF,b1901,+
AraC,araC,b0064,araG,b1900,+
AraC,araC,b0064,araH,b4460,+
AraC,araC,b0064,araJ,b0396,+
AraC,araC,b0064,xylA,b3565,-
AraC,araC,b0064,xylB,b3564,-
ArcA,arcA,b4401,aceA,b4015,-
ArcA,arcA,b4401,aceB,b4014,-
ArcA,arcA,b4401,aceE,b0114,-
ArcA,arcA,b4401,aceF,b0115,-
ArcA,arcA,b4401,aceK,b4016,-
ArcA,arcA,b4401,ackA,b2296,+
ArcA,arcA,b4401,acnA,b1276,-
ArcA,arcA,b4401,acnB,b0118,-
ArcA,arcA,b4401,aldA,b1415,-
ArcA,arcA,b4401,appA,b0980,+
ArcA,arcA,b4401,appB,b0979,+
ArcA,arcA,b4401,appC,b0978,+
ArcA,arcA,b4401,arcZ,b4450,-
ArcA,arcA,b4401,betA,b0311,-
ArcA,arcA,b4401,betB,b0312,-
ArcA,arcA,b4401,betI,b0313,-
ArcA,arcA,b4401,betT,b0314,-
ArcA,arcA,b4401,cadA,b4131,-
ArcA,arcA,b4401,cadB,b4132,-
ArcA,arcA,b4401,caiA,b0039,+
ArcA,arcA,b4401,caiB,b0038,+
ArcA,arcA,b4401,caiC,b0037,+
ArcA,arcA,b4401,caiD,b0036,+
ArcA,arcA,b4401,caiE,b0035,+
ArcA,arcA,b4401,caiT,b0040,+
ArcA,arcA,b4401,cydA,b0733,+
ArcA,arcA,b4401,cydB,b0734,+
ArcA,arcA,b4401,cydC,b0886,+
ArcA,arcA,b4401,cydD,b0887,+
ArcA,arcA,b4401,cyoA,b0432,-
ArcA,arcA,b4401,cyoB,b0431,-
ArcA,arcA,b4401,cyoC,b0430,-
ArcA,arcA,b4401,cyoD,b0429,-
ArcA,arcA,b4401,cyoE,b0428,-
ArcA,arcA,b4401,dctA,b3528,-
ArcA,arcA,b4401,dcuC,b0621,+
ArcA,arcA,b4401,fadA,b3845,-
ArcA,arcA,b4401,fadB,b3846,-
ArcA,arcA,b4401,fadD,b1805,-
ArcA,arcA,b4401,fadE,b0221,-
ArcA,arcA,b4401,fadH,b3081,-
ArcA,arcA,b4401,fadI,b2342,-
ArcA,arcA,b4401,fadJ,b2341,-
ArcA,arcA,b4401,fadL,b2344,-
ArcA,arcA,b4401,fnr,b1334,-
ArcA,arcA,b4401,focA,b0904,+
ArcA,arcA,b4401,fumA,b1612,-
ArcA,arcA,b4401,fumB,b4122,+
ArcA,arcA,b4401,fumC,b1611,-
ArcA,arcA,b4401,gadA,b3517,+
ArcA,arcA,b4401,gadX,b3516,+
ArcA,arcA,b4401,gatA,b2094,-
ArcA,arcA,b4401,gatB,b2093,-
ArcA,arcA,b4401,gatC,b2092,-
ArcA,arcA,b4401,gatD,b2091,-
ArcA,arcA,b4401,gatY,b2096,-
ArcA,arcA,b4401,gatZ,b2095,-
ArcA,arcA,b4401,glcA,b2975,-
ArcA,arcA,b4401,glcB,b2976,-
ArcA,arcA,b4401,glcD,b2979,-
ArcA,arcA,b4401,glcE,b4468,-
ArcA,arcA,b4401,glcF,b4467,-
ArcA,arcA,b4401,glcG,b2977,-
ArcA,arcA,b4401,glpA,b2241,-
ArcA,arcA,b4401,glpB,b2242,-
ArcA,arcA,b4401,glpC,b2243,-
ArcA,arcA,b4401,glpD,b3426,-
ArcA,arcA,b4401,gltA,b0720,-
ArcA,arcA,b4401,hemA,b1210,+
ArcA,arcA,b4401,hyaA,b0972,+
ArcA,arcA,b4401,hyaB,b0973,+
ArcA,arcA,b4401,hyaC,b0974,+
ArcA,arcA,b4401,hyaD,b0975,+
ArcA,arcA,b4401,hyaE,b0976,+
ArcA,arcA,b4401,hyaF,b0977,+
ArcA,arcA,b4401,hybA,b2996,-
ArcA,arcA,b4401,hybB,b2995,-
ArcA,arcA,b4401,hybC,b2994,-
ArcA,arcA,b4401,hybD,b2993,-
ArcA,arcA,b4401,hybE,b2992,-
ArcA,arcA,b4401,hybF,b2991,-
ArcA,arcA,b4401,hybG,b2990,-
ArcA,arcA,b4401,hybO,b2997,-
ArcA,arcA,b4401,icd,b1136,-
ArcA,arcA,b4401,iraM,b1160,+
ArcA,arcA,b4401,lldD,b3605,-
ArcA,arcA,b4401,lldP,b3603,-
ArcA,arcA,b4401,lldR,b3604,-
ArcA,arcA,b4401,lpd,b0116,-
ArcA,arcA,b4401,mdh,b3236,-
ArcA,arcA,b4401,moeA,b0827,+
ArcA,arcA,b4401,moeB,b0826,+
ArcA,arcA,b4401,ndh,b1109,+
ArcA,arcA,b4401,nuoA,b2288,-
ArcA,arcA,b4401,nuoB,b2287,-
ArcA,arcA,b4401,nuoC,b2286,-
ArcA,arcA,b4401,nuoE,b2285,-
ArcA,arcA,b4401,nuoF,b2284,-
ArcA,arcA,b4401,nuoG,b2283,-
ArcA,arcA,b4401,nuoH,b2282,-
ArcA,arcA,b4401,nuoI,b2281,-
ArcA,arcA,b4401,nuoJ,b2280,-
ArcA,arcA,b4401,nuoK,b2279,-
ArcA,arcA,b4401,nuoL,b2278,-
ArcA,arcA,b4401,nuoM,b2277,-
ArcA,arcA,b4401,nuoN,b2276,-
ArcA,arcA,b4401,oppA,b1243,-
ArcA,arcA,b4401,oppB,b1244,-
ArcA,arcA,b4401,oppC,b1245,-
ArcA,arcA,b4401,oppD,b1246,-
ArcA,arcA,b4401,oppF,b1247,-
ArcA,arcA,b4401,pflB,b0903,+
ArcA,arcA,b4401,prfA,b1211,+
ArcA,arcA,b4401,prmC,b1212,+
ArcA,arcA,b4401,ptsG,b1101,-
ArcA,arcA,b4401,puuA,b1297,-
ArcA,arcA,b4401,puuD,b1298,-
ArcA,arcA,b4401,puuR,b1299,-
ArcA,arcA,b4401,rhaT,b3907,-
ArcA,arcA,b4401,rplB,b3317,-
ArcA,arcA,b4401,rplC,b3320,-
ArcA,arcA,b4401,rplD,b3319,-
ArcA,arcA,b4401,rplP,b3313,-
ArcA,arcA,b4401,rplV,b3315,-
ArcA,arcA,b4401,rplW,b3318,-
ArcA,arcA,b4401,rpmC,b3312,-
ArcA,arcA,b4401,rpoS,b2741,-
ArcA,arcA,b4401,rpsC,b3314,-
ArcA,arcA,b4401,rpsJ,b3321,-
ArcA,arcA,b4401,rpsQ,b3311,-
ArcA,arcA,b4401,rpsS,b3316,-
